sample_id,timestamp,datetime,j1,j2,j3,j4,j5,j6,x,y,z,raw_waypoint
0,1773665298.585205,2026-03-16 20:48:18.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
1,1773665298.6048481,2026-03-16 20:48:18.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
2,1773665298.6248426,2026-03-16 20:48:18.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
3,1773665298.6449213,2026-03-16 20:48:18.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
4,1773665298.6648557,2026-03-16 20:48:18.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
5,1773665298.684837,2026-03-16 20:48:18.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
6,1773665298.7048316,2026-03-16 20:48:18.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
7,1773665298.7248337,2026-03-16 20:48:18.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
8,1773665298.7449136,2026-03-16 20:48:18.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
9,1773665298.7649155,2026-03-16 20:48:18.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
10,1773665298.7848523,2026-03-16 20:48:18.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
11,1773665298.8049219,2026-03-16 20:48:18.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
12,1773665298.824917,2026-03-16 20:48:18.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
13,1773665298.8449395,2026-03-16 20:48:18.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
14,1773665298.8648727,2026-03-16 20:48:18.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
15,1773665298.884925,2026-03-16 20:48:18.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
16,1773665298.9049244,2026-03-16 20:48:18.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
17,1773665298.9249108,2026-03-16 20:48:18.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
18,1773665298.9449244,2026-03-16 20:48:18.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
19,1773665298.964923,2026-03-16 20:48:18.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
20,1773665298.9848397,2026-03-16 20:48:18.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
21,1773665299.0048552,2026-03-16 20:48:19.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
22,1773665299.024843,2026-03-16 20:48:19.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
23,1773665299.0448422,2026-03-16 20:48:19.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
24,1773665299.0648546,2026-03-16 20:48:19.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
